Rang,Nom,Ticker,Pays,Date Résultats,Prix Actuel (est.),Score /100,Potentiel,Confiance,EPS Consensus,CA Consensus,Catalyseur Principal,Risque Principal,Thèse (résumé)
1,NVIDIA,NVDA,USA,20 mai 2026 (AMC),~$135,92,Élevé,Fort,$1.77 (+99% YoY),$78 Mds (+78% YoY),Beat-and-raise Blackwell + guidance Q2 ~$87Mds (GS),Barre très haute — inline pourrait décevoir,IA factory strategy ; demande GPU insatiable ; GS PT $250 ; +12% révision EPS récente
2,Walmart,WMT,USA,21 mai 2026 (BMO),~$100,81,Modéré,Fort,~$0.68,~$168 Mds,Croissance Walmart+ et revenus advertising,Inflation énergie → pression supply chain,Defensive play de conviction ; PT MS $140 ; ad-tech + marketplace en forte croissance
3,Lowe's,LOW,USA,20 mai 2026 (BMO),~$218,78,Modéré,Fort,$2.96,$22.95 Mds,Rebond rénovation Pro + consensus Buy 24 analystes,Taux élevés prolongés freinent l'immobilier,24 analystes Buy ; PT médian $286 (+31% upside) ; valorisation attractive vs HD
4,Home Depot,HD,USA,19 mai 2026 (BMO),~$385,76,Modéré,Fort,~$3.68,~$39.2 Mds,Reprise Pro + début cycle baissier taux,Droits de douane matériaux de construction,Leader home improvement ; marges opé ~14% ; qualité institutionnelle
5,Palo Alto Networks,PANW,USA,20 mai 2026 (AMC),~$185,74,Élevé,Moyen,$0.80,~$2.3 Mds,Platformisation cyber IA + ARR en hausse,Valorisation ~100x earnings ; hausse OPEX,Beat +35% au T2 2026 ; stickiness client élevée ; war cyber Iran = demande critique
6,Target,TGT,USA,21 mai 2026 (BMO),~$98,65,Modéré,Moyen,~$1.65,~$23.8 Mds,Rebond discrétionnaire + réduction stocks,Same-store sales en baisse ; confiance consommateur fragile,Valeur risquée ; guidance réduite au trimestre précédent ; trade défensif taille réduite
7,Deere & Company,DE,USA,21 mai 2026 (BMO),~$490,63,Modéré,Moyen,~$6.20,~$12.5 Mds,Rebond construction US + precision ag IA,Cycle agricole en ralentissement ; droits de douane,Industriel de qualité ; levier pétrole haut → équipements extraction ; valorisation raisonnable
8,Zoom Video,ZM,USA,21 mai 2026 (AMC),~$72,58,Modéré,Moyen,~$1.30,~$1.16 Mds,Pivot IA (AI Companion) + croissance Enterprise,Croissance stagnante ; concurrence Teams/Google Meet,PE ~16x modeste ; stabilisation base Enterprise ; convexité modérée
9,Take-Two Interactive,TTWO,USA,Semaine du 19 mai (AMC),~$225,54,Faible,Faible,~-$0.30,~$1.35 Mds,Update calendrier GTA VI,Pertes structurelles ; date GTA VI incertaine,Spéculatif GTA VI ; fondamentaux faibles ; taille très réduite
10,NIO Inc.,NIO,Chine,21 mai 2026 (BMO),~$5.2,51,Élevé,Faible,~-$0.38,~$2.8 Mds,Accélération livraisons + lancement ONVO,Cash burn élevé ; concurrence BYD/Tesla,ADR spéculatif ; levier ONVO mass market ; profils très agressifs uniquement
